INVNRS,ONDERWERP,TERM,URI
57584,Theater,,
57585,Sporthal,,
57586,Politie,,
57587,School,School,http://vocab.getty.edu/aat/300006495
57588,Sectiepost,,
57589,School,School,http://vocab.getty.edu/aat/300006495
57590,School,School,http://vocab.getty.edu/aat/300006495
57591,Parkeergarage,,
57592,Parkeergarage,,
57593,Parkeergarage,,
57594,Parkeergarage,,
57595,Parkeergarage,,
57596,Zwembad,,
57597,Zwembad,,
57598,Begraafplaats,,
57599,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57600,Politiebureau,Politiebureau,http://vocab.getty.edu/aat/300006049
57601,Brug,Brug,http://vocab.getty.edu/aat/300007836
57602,Brug,Brug,http://vocab.getty.edu/aat/300007836
57603,Brug,Brug,http://vocab.getty.edu/aat/300007836
57604,Brug,Brug,http://vocab.getty.edu/aat/300007836
57605,Brug,Brug,http://vocab.getty.edu/aat/300007836
57606,Brug,Brug,http://vocab.getty.edu/aat/300007836
57607,Brug,Brug,http://vocab.getty.edu/aat/300007836
57608,Brug,Brug,http://vocab.getty.edu/aat/300007836
57609,Brug,Brug,http://vocab.getty.edu/aat/300007836
57610,Brug,Brug,http://vocab.getty.edu/aat/300007836
57611,Brug,Brug,http://vocab.getty.edu/aat/300007836
57612,Brug,Brug,http://vocab.getty.edu/aat/300007836
57613,Brug,Brug,http://vocab.getty.edu/aat/300007836
57614,Brug,Brug,http://vocab.getty.edu/aat/300007836
